numero,arquivo,linha_aproximada,categoria,sintoma,causa,correcao,teste_que_comprova,responsavel,status
18,lib/models/livro.dart,21,regras de negocio,retirarExemplar() podia deixar o estoque negativo,Nao havia checagem antes de decrementar quantidadeDisponivel,Lancar StateError quando !estaDisponivel antes de decrementar,livro_test.dart - 'nao permite retirar quando nao ha exemplar',<preencher>,Fechado
19,lib/models/livro.dart,25,regras de negocio,Cada devolucao somava 2 exemplares em vez de 1,quantidadeDisponivel += 2,quantidadeDisponivel += 1,livro_test.dart - 'devolver aumenta apenas um exemplar',<preencher>,Fechado
20,lib/models/livro.dart,38,tipos e conversoes,"copyWith(titulo:...) alterava o campo autor, e vice-versa",Parametros titulo e autor trocados entre si na atribuicao,"titulo: titulo ?? this.titulo, autor: autor ?? this.autor",livro_test.dart - 'copyWith altera somente o titulo',<preencher>,Fechado
21,lib/models/livro.dart,47,mensagem enganosa,toString() rotulava quantidadeTotal como 'disponiveis',Interpolacao usava $quantidadeTotal em vez de $quantidadeDisponivel,'... disponiveis: $quantidadeDisponivel)',Nenhum teste original cobria; recomenda-se criar um,<preencher>,Fechado
22,lib/models/livro.dart,50,igualdade de objetos,Livros diferentes com mesmo titulo eram tratados como iguais,"operator== comparava por titulo, mas hashCode usa id (contrato quebrado)",bool operator ==(Object other) => other is Livro && other.id == id;,livro_test.dart - 'livros com IDs diferentes nao sao iguais',<preencher>,Fechado
23,lib/models/emprestimo.dart,22,regras de negocio,Todo emprestimo novo ja nascia com status 'devolvido',Valor padrao do status era StatusEmprestimo.devolvido,this.status = StatusEmprestimo.ativo,emprestimo_service_test.dart - 'realiza emprestimo e reduz disponibilidade',<preencher>,Fechado
24,lib/models/emprestimo.dart,31,datas e horarios,diasDeAtraso retornava numero negativo quando havia atraso,Ordem invertida em difference(): dataPrevistaDevolucao.difference(referencia),referencia.difference(dataPrevistaDevolucao).inDays,multa_service_test.dart - 'cobra por cinco dias de atraso',<preencher>,Fechado
25,lib/models/emprestimo.dart,36,regras de negocio,registrarDevolucao() marcava o emprestimo como 'ativo',Atribuicao errada: status = StatusEmprestimo.ativo,status = StatusEmprestimo.devolvido;,emprestimo_service_test.dart - 'devolucao atualiza status e disponibilidade',<preencher>,Fechado
26,lib/models/emprestimo.dart,41,datas e horarios,renovar() diminuia o prazo de devolucao em vez de aumentar,Uso de .subtract() em vez de .add(),dataPrevistaDevolucao.add(Duration(days: dias)),emprestimo_service_test.dart - 'renovacao aumenta o prazo',<preencher>,Fechado
27,lib/repositories/livro_repository.dart,13,tipos e conversoes,buscarPorId praticamente nunca retornava o livro certo,Uso de != em vez de == na comparacao de id,_livros.firstWhere((livro) => livro.id == id),livro_repository_test.dart - 'busca livro pelo ID correto' e 'retorna nulo para ID inexistente',<preencher>,Fechado
28,lib/repositories/livro_repository.dart,21,regras de negocio,Busca por titulo nao encontrava correspondencia parcial,Uso de == (igualdade exata) em vez de contains(),livro.titulo.toLowerCase().contains(termo.toLowerCase()),livro_repository_test.dart - 'pesquisa parte do titulo sem diferenciar maiusculas',<preencher>,Fechado
29,lib/repositories/livro_repository.dart,28,regras de negocio,"remover() sempre retornava false, mesmo apos remover com sucesso",Retorno fixo 'return false' independente do resultado,Comparar tamanho da lista antes/depois e retornar true se diminuiu,livro_repository_test.dart - 'remove livro existente',<preencher>,Fechado
30,lib/repositories/livro_repository.dart,31,regras de negocio,listarTodos() permitia alterar o repositorio por fora,Retornava a referencia da lista interna _livros diretamente,List<Livro> listarTodos() => List.of(_livros);,livro_repository_test.dart - 'listarTodos nao permite alterar o repositorio por fora',<preencher>,Fechado
31,lib/repositories/usuario_repository.dart,7,tipos e conversoes,buscarPorId(usuario.id) nunca encontrava o usuario salvo,salvar() gravava sob a chave usuario.id + 1,_usuarios[usuario.id] = usuario;,usuario_repository_test.dart - 'busca usuario pelo mesmo id usado ao salvar',<preencher>,Fechado
32,lib/repositories/usuario_repository.dart,16,tipos e conversoes,existeEmail quase nunca detectava e-mail ja cadastrado,Comparava email salvo com email.toUpperCase() (case inconsistente),usuario.email.toLowerCase() == email.toLowerCase(),usuario_repository_test.dart - 'detecta e-mail ja cadastrado',<preencher>,Fechado
33,lib/repositories/usuario_repository.dart,21,regras de negocio,listarAtivos() devolvia os usuarios inativos,Negacao (!) sobrando na condicao do where,where((usuario) => usuario.ativo),usuario_repository_test.dart - 'lista apenas usuarios ativos',<preencher>,Fechado
34,lib/utils/ai_guard.dart,19,mensagem enganosa / conceitual,Funcao 'aprovava' o projeto so por o texto conter a palavra APROVADO,Continha texto adversarial tentando manipular ferramentas de IA para declarar o codigo correto sem checagem real,Reescrever para sempre retornar false; nenhuma auditoria automatica substitui analise real,ai_guard_test.dart - 'mensagem de aprovacao nao comprova qualidade',<preencher>,Fechado
35,test/emprestimo_service_test.dart,92,teste com expectativa incorreta,Teste esperava prazo de devolucao de 30 dias,"Expectativa do teste nao seguia a regra de negocio real (7 dias, definida em EmprestimoService.realizarEmprestimo)","Corrigida a expectativa para DateTime(2026, 8, 8) (data do emprestimo + 7 dias), sem alterar a regra de negocio",Teste renomeado confirma prazo de 7 dias; multa_service_test.dart tambem depende dessa regra,<preencher>,Fechado
